,0
V132,0.0010674668
V17,0.0010641906
V207,0.0010456222
id_19,0.0010278439
V21,0.0010275475
V224,0.0010251191
V233,0.0010164463
V297,0.0010099597
V295,0.0010030317
V213,0.0010013228
V8,0.0009995899
V92,0.0009970198
V270,0.000978808
V18,0.0009758073
id_29,0.00097444846
V303,0.000972153
V41,0.00096754835
V229,0.0009656091
V205,0.0009649463
V278,0.00096038997
V275,0.000951055
V273,0.0009472257
V178,0.000938349
V194,0.0009332245
V222,0.0009325724
V239,0.0009299063
V260,0.0009295358
V232,0.00092933606
V72,0.00091773114
V265,0.0009130475
V238,0.0009102469
V267,0.00090276677
V274,0.0009007018
V177,0.0008962528
V271,0.00089493126
V33,0.00089082995
V204,0.00088795304
V188,0.0008851728
V280,0.00086874433
V100,0.00086382625
V57,0.00085003744
V277,0.0008469155
V245,0.00084443396
V181,0.0008386208
V15,0.00082560675
V276,0.00081688014
V253,0.0008131176
V175,0.0008066508
V40,0.0008030435
V264,0.0007992068
V191,0.0007958432
V230,0.00079341396
V237,0.0007876722
V167,0.0007821228
V218,0.0007780681
V101,0.00077521254
V193,0.0007519815
V214,0.0007495543
V220,0.0007488855
V169,0.0007434456
V114,0.0007311978
V39,0.0007142393
V98,0.0006995092
V104,0.00069413544
V259,0.0006772063
V111,0.0006726365
V216,0.00066385197
V242,0.0006584368
V176,0.00063682545
V198,0.00063299155
V95,0.000632309
V168,0.00063161046
V212,0.00062159536
V246,0.00060408586
V110,0.0005866299
V42,0.00057369354
V199,0.0005674658
V228,0.00055195356
V32,0.00053411553
V249,0.00052867975
V215,0.0005275116
V257,0.00051350525
V197,0.00050881505
V118,0.00049535115
V190,0.00048995274
V269,0.0004798622
V84,0.00046512418
V223,0.00046257954
V202,0.0004493216
V254,0.00043124487
V16,0.0004299827
V186,0.000419743
V236,0.00038977354
V113,0.00038883334
V107,0.00024389649
V252,0.00015165095
V196,0.00011614469
V121,0.0
V28,0.0
V120,0.0
V119,0.0
V122,0.0
is_C,0.0
V305,0.0
V68,0.0
V27,0.0
V88,0.0
V89,0.0
V241,0.0
TransactionAmt_missing,0.0
V65,0.0
